pr_number,pr_owner,first_pr,pr_commits,pr_comments,merged,linked,sameOwner,comments,commentsB4,ownerComments,ownerCommentsB4,mergerComments,mergerCommentsB4
1,grierj,0,5,0,0,0,,,,,,,
2,corywright,0,1,0,0,0,,,,,,,
3,yumike,0,1,0,0,0,,,,,,,
4,mou,0,4,0,0,0,,,,,,,
5,yumike,0,1,0,0,0,,,,,,,
6,jameskyle,0,1,0,0,0,,,,,,,
7,emonty,0,3,0,0,0,,,,,,,
8,rhyselsmore,0,1,0,0,0,,,,,,,
9,yml,0,1,0,0,0,,,,,,,
10,adiroiban,0,2,0,0,0,,,,,,,
11,kmwhite,0,1,0,0,0,,,,,,,
12,chjohnst,0,1,0,0,0,,,,,,,
13,dcolish,0,1,0,0,0,,,,,,,
14,dekkers,0,1,0,0,0,,,,,,,
15,ento,0,1,0,0,0,,,,,,,
17,tsclausing,0,1,0,0,0,,,,,,,
16,dcolish,0,1,0,0,0,,,,,,,
19,baijum,0,2,0,0,0,,,,,,,
18,kennyballou,0,1,0,0,0,,,,,,,
21,benhosmer,0,1,0,0,0,,,,,,,
20,techtonik,0,2,0,0,0,,,,,,,
23,techtonik,0,1,0,0,0,,,,,,,
22,benhosmer,0,2,0,0,0,,,,,,,
25,emonty,0,1,0,0,0,,,,,,,
24,andytinycat,0,3,0,0,0,,,,,,,
27,rca,0,1,0,0,0,,,,,,,
26,torhve,0,1,0,0,0,,,,,,,
29,drawks,0,1,0,0,0,,,,,,,
28,torhve,0,2,0,0,0,,,,,,,
31,benoitbryon,0,1,0,0,0,,,,,,,
30,rizumu,0,8,1,0,0,,,,,,,
34,mineo,0,1,0,0,0,,,,,,,
35,jaypipes,0,1,0,0,0,,,,,,,
32,elasticdog,0,1,0,0,0,,,,,,,
33,Lanzaa,0,7,0,0,1,0,2,2,0,0,,
38,bendavis78,0,1,0,0,0,,,,,,,
39,jaypipes,0,5,1,0,0,,,,,,,
36,ranl,0,1,0,0,0,,,,,,,
37,marcinkuzminski,0,1,0,0,0,,,,,,,
42,tony,0,4,0,0,0,,,,,,,
43,gthb,0,1,0,0,0,,,,,,,
40,abh,0,2,0,0,0,,,,,,,
41,tonthon,0,1,0,0,0,,,,,,,
46,wraithan,0,1,0,0,0,,,,,,,
47,fabulops,0,1,0,0,0,,,,,,,
44,gthb,0,1,0,0,0,,,,,,,
45,benoitbryon,0,7,0,0,0,,,,,,,
51,wraithan,0,2,0,0,0,,,,,,,
50,wendall911,0,2,0,0,0,,,,,,,
49,akoumjian,0,2,0,0,0,,,,,,,
48,miracle2k,0,1,0,0,0,,,,,,,
55,tony,0,1,0,0,0,,,,,,,
54,kmwhite,0,1,0,0,0,,,,,,,
53,drawks,0,1,0,0,0,,,,,,,
52,kiall,0,1,0,0,0,,,,,,,
59,slafs,0,1,0,0,0,,,,,,,
58,anentropic,0,1,0,0,0,,,,,,,
57,msabramo,0,1,0,0,0,,,,,,,
56,gthb,0,1,0,0,0,,,,,,,
63,chjohnst,0,1,0,0,0,,,,,,,
62,tateeskew,0,1,0,0,1,0,1,1,0,0,,
61,OddBloke,0,1,0,0,1,0,2,2,0,0,,
60,mattrobenolt,0,2,2,0,0,,,,,,,
68,mineo,0,1,0,0,0,,,,,,,
69,mineo,0,1,0,0,0,,,,,,,
70,bclermont,0,5,0,0,0,,,,,,,
71,hathawsh,0,1,0,0,0,,,,,,,
64,jaypipes,0,1,0,0,0,,,,,,,
65,igalarzab,0,1,0,0,0,,,,,,,
66,jaypipes,0,1,0,0,0,,,,,,,
67,mineo,0,1,0,0,0,,,,,,,
76,marcinkuzminski,0,1,0,0,0,,,,,,,
77,abh,0,1,0,0,1,0,3,3,0,0,,
78,byronclark,0,1,0,0,0,,,,,,,
79,HonzaKral,0,2,0,0,0,,,,,,,
72,rca,0,1,0,0,0,,,,,,,
73,amuraru,0,1,0,0,0,,,,,,,
74,millerdev,0,6,0,0,0,,,,,,,
75,JensRantil,0,2,0,0,0,,,,,,,
85,s0undt3ch,0,1,0,1,0,,,,,,,
84,tonthon,0,1,0,0,0,,,,,,,
87,s0undt3ch,0,1,0,0,0,,,,,,,
86,anentropic,0,2,0,0,1,0,2,2,0,0,,
81,tchap,0,1,2,0,0,,,,,,,
80,cvrebert,0,1,0,0,0,,,,,,,
83,jonasvp,0,1,0,0,0,,,,,,,
82,aboe76,0,1,0,0,0,,,,,,,
93,wraithan,0,1,0,0,0,,,,,,,
92,syphernl,0,2,0,0,0,,,,,,,
95,d0ugal,0,1,0,0,0,,,,,,,
94,anentropic,0,1,0,0,0,,,,,,,
89,anentropic,0,1,0,0,0,,,,,,,
88,hathawsh,0,1,0,0,0,,,,,,,
91,slai,0,1,0,0,0,,,,,,,
90,emonty,0,1,0,0,0,,,,,,,
102,jasonrm,0,2,0,0,0,,,,,,,
103,minaguib,0,1,0,0,1,0,9,9,0,0,,
100,wraithan,0,1,0,0,0,,,,,,,
101,mattprintz,0,1,1,1,0,,,,,,,
98,ento,0,4,0,0,0,,,,,,,
99,whiteinge,1,2,0,1,0,,,,,,,
96,msabramo,0,1,0,0,0,,,,,,,
97,ydavid365,0,1,0,0,0,,,,,,,
110,miracle2k,0,1,0,0,0,,,,,,,
111,mineo,0,1,0,0,1,0,1,1,0,0,,
108,YorikSar,0,4,0,0,0,,,,,,,
109,gthb,0,1,0,0,0,,,,,,,
106,emonty,0,3,0,0,0,,,,,,,
107,h3,0,1,0,0,1,0,1,1,0,0,,
104,jeblair,0,2,0,0,0,,,,,,,
105,mgwilliams,0,1,0,0,0,,,,,,,
119,scragg0x,0,1,0,0,0,,,,,,,
118,tonthon,0,1,0,0,1,0,1,1,0,0,,
117,russellballestrini,0,1,0,0,1,1,4,4,0,0,,
116,syphernl,0,1,0,0,0,,,,,,,
115,syphernl,0,1,0,0,0,,,,,,,
114,amuraru,0,1,0,0,0,,,,,,,
113,mgwilliams,0,1,0,0,0,,,,,,,
112,drawks,0,3,0,0,0,,,,,,,
127,grischa,0,12,0,0,0,,,,,,,
126,jonasvp,0,7,1,0,0,,,,,,,
125,brutasse,0,0,0,0,0,,,,,,,
124,syphernl,0,1,0,0,0,,,,,,,
123,msabramo,0,2,0,0,1,0,0,0,0,0,,
122,SEJeff,0,2,0,1,0,,,,,,,
121,tonthon,0,2,0,0,1,0,14,14,0,0,,
120,SEJeff,1,1,0,1,0,,,,,,,
137,owenn,1,1,1,1,0,,,,,,,
136,dekkers,0,1,5,0,0,,,,,,,
139,dhepper,0,1,0,0,0,,,,,,,
138,jameskyle,0,3,0,0,0,,,,,,,
141,jglazner,0,1,0,1,0,,,,,,,
140,jglazner,1,1,0,1,0,,,,,,,
143,whiteinge,0,1,0,1,0,,,,,,,
142,whiteinge,0,1,0,1,0,,,,,,,
129,geoffgarside,0,1,0,0,0,,,,,,,
128,mguegan,0,1,0,0,0,,,,,,,
131,amuraru,0,1,0,0,0,,,,,,,
130,mineo,1,1,0,1,0,,,,,,,
133,wraithan,0,1,0,0,0,,,,,,,
132,mattrobenolt,0,1,0,0,0,,,,,,,
135,wendall911,0,3,0,0,0,,,,,,,
134,scragg0x,0,1,0,0,0,,,,,,,
152,geoffgarside,0,1,1,0,0,,,,,,,
153,s0undt3ch,0,3,0,0,0,,,,,,,
154,melinath,0,1,0,0,0,,,,,,,
155,s0undt3ch,0,111,0,0,0,,,,,,,
156,s0undt3ch,0,2,0,0,0,,,,,,,
157,techtonik,0,1,0,0,0,,,,,,,
158,s0undt3ch,0,1,0,0,0,,,,,,,
159,s0undt3ch,0,2,0,0,0,,,,,,,
144,bclermont,0,1,0,0,0,,,,,,,
145,s0undt3ch,0,1,0,0,0,,,,,,,
8945,msabramo,0,0,0,0,0,,,,,,,
146,zsimic,0,1,0,0,0,,,,,,,
147,amuraru,0,2,0,0,0,,,,,,,
148,h3,0,1,0,0,0,,,,,,,
150,drawks,0,1,0,0,0,,,,,,,
151,timl,0,1,0,0,0,,,,,,,
171,ento,0,3,0,0,0,,,,,,,
170,ento,0,1,0,0,0,,,,,,,
169,f0rk,0,1,0,0,0,,,,,,,
168,mchesnut,0,1,0,0,1,0,0,0,0,0,,
174,whiteinge,0,6,0,1,0,,,,,,,
173,whiteinge,0,9,1,1,0,,,,,,,
163,wraithan,0,1,0,0,0,,,,,,,
162,whiteinge,0,1,0,1,1,0,0,0,0,0,0,0
161,whiteinge,0,4,1,1,0,,,,,,,
160,s0undt3ch,0,5,0,0,0,,,,,,,
167,whiteinge,0,1,0,0,0,,,,,,,
166,timl,0,1,0,0,0,,,,,,,
164,wraithan,0,1,0,0,0,,,,,,,
186,whiteinge,0,4,0,1,0,,,,,,,
187,whiteinge,0,1,0,1,0,,,,,,,
184,tonthon,0,1,0,0,0,,,,,,,
190,d0ugal,0,1,0,0,0,,,,,,,
188,msabramo,0,3,1,0,0,,,,,,,
189,whiteinge,0,2,0,1,0,,,,,,,
178,kjoconnor,0,3,5,0,0,,,,,,,
179,jesusaurus,0,3,0,0,0,,,,,,,
176,zyluo,0,1,0,0,0,,,,,,,
180,jesusaurus,0,1,0,0,0,,,,,,,
181,sephii,0,1,0,0,0,,,,,,,
205,crazysim,0,1,0,0,0,,,,,,,
204,wraithan,0,1,0,0,0,,,,,,,
